AREA,COUNTRY,NUMBER_OF_THE_STRATUM,,DEPTH,CODESTRATA,AREASTRATA
1,ESP,11101,a,10_50,A,510
1,ESP,11102,a,50-100,B,1951
1,ESP,11103,a,100-200,C,1086
1,ESP,11104,a,200-500,D,3461
1,ESP,11105,a,500-800,E,4912
2,ESP,11106,b,10_50,A,0
2,ESP,11107,b,50-100,B,130
2,ESP,11108,b,100-200,C,132
2,ESP,11109,b,200-500,D,221
2,ESP,11110,a,500-800,E,350
3,Morocco,11401,a,10_50,A,355
3,Morocco,11402,a,50-100,B,444
3,Morocco,11403,a,100-200,C,487
3,Morocco,11404,a,200-500,D,3580
3,Morocco,11405,a,500-800,E,1108
3,Morocco,11406,b,10_50,A,878
3,Morocco,11407,b,50-100,B,1098
3,Morocco,11408,b,100-200,C,938
3,Morocco,11409,b,200-500,D,3507
3,Morocco,11410,b,500-800,E,1446
5,ESP,11501,a,10_50,A,0
5,ESP,11502,a,50-100,B,1170
5,ESP,11503,a,100-200,C,1773
5,ESP,11504,a,200-500,D,1123
5,ESP,11505,a,500-800,E,2030
5,ESP,11507,b,50-100,B,2255
5,ESP,11508,b,100-200,C,1472
5,ESP,11509,b,200-500,D,1518
5,ESP,11510,b,500-800,E,1315
6,ESP,11201,a,10_50,A,1130
6,ESP,11202,a,50-100,B,4095
6,ESP,11203,a,100-200,C,3302
6,ESP,11204,a,200-500,D,4242
6,ESP,11205,a,500-800,E,3159
6,ESP,11301,a,10_50,A,1896
6,ESP,11302,a,50-100,B,7219
6,ESP,11303,a,100-200,C,3587
6,ESP,11304,a,200-500,D,2477
6,ESP,11305,a,500-800,E,1399
7,FRA,12101,a,10_50,A,1482
7,FRA,12102,a,50-100,B,3911
7,FRA,12103,a,100-200,C,819
7,FRA,12104,a,200-500,D,709
7,FRA,12105,a,500-800,E,660
7,FRA,12106,b,10_50,A,696
7,FRA,12107,b,50-100,B,2610
7,FRA,12108,b,100-200,C,1734
7,FRA,12109,b,200-500,D,653
7,FRA,12110,b,500-800,E,586
8,FRA,13101,a,10_50,A,0
8,FRA,13102,a,50-100,B,521
8,FRA,13103,a,100-200,C,234
8,FRA,13104,a,200-500,D,920
8,FRA,13105,a,500-800,E,867
8,FRA,13106,b,10_50,A,0
8,FRA,13107,b,50-100,B,524
8,FRA,13108,b,100-200,C,153
8,FRA,13109,b,200-500,D,383
8,FRA,13110,b,500-800,E,960
9,ITA,13201,a,10_50,A,657
9,ITA,13202,a,50-100,B,729
9,ITA,13203,a,100-200,C,658
9,ITA,13204,a,200-500,D,1737
9,ITA,13205,a,500-800,E,2093
9,ITA,13206,b,10_50,A,2053
9,ITA,13207,b,50-100,B,1598
9,ITA,13208,b,100-200,C,3186
9,ITA,13209,b,200-500,D,2449
9,ITA,13210,b,500-800,E,879
9,ITA,13211,c,10_50,A,945
9,ITA,13212,c,50-100,B,1506
9,ITA,13213,c,100-200,C,2732
9,ITA,13214,c,200-500,D,2828
9,ITA,13215,c,500-800,E,3071
9,ITA,13216,d,10_50,A,2107
