ITA_SET_NET;0;1;2;3;4;5;6+
2000;4789.85;2341.94;158.75;7.82;0.07;0.09;0.3
2001;5895.51;2882.55;195.39;9.62;0.09;0.11;0.36
2002;6797.18;3323.41;225.28;11.09;0.11;0.13;0.42
2003;9326.74;4560.21;309.11;15.22;0.15;0.18;0.58
2004;7025.66;3435.12;232.85;11.47;0.11;0.14;0.43
2005;9273.7;4534.28;307.35;15.14;0.14;0.18;0.57
2006;1246;5263;663;82;0;0;0
2007;119;3893;585;80;0;0;0
2008;391;3717;42;0;0;0;0
2009;2507;2316;225;10;0;0;1
2010;2373;2192;213;9;0;0;0
2011;697;3278;515;20;2;3;9
2012;5421;1960;573;2;0;0;0
