ITA_TRAWL;0;1;2;3;4;5;6+
2000;11340.75;2941.37;206.35;14.77;0.14;0.09;0.09
2001;13958.59;3620.35;253.99;18.17;0.17;0.11;0.11
2002;16093.43;4174.05;292.83;20.95;0.2;0.13;0.12
2003;22082.58;5727.41;401.81;28.75;0.27;0.18;0.17
2004;16634.38;4314.35;302.68;21.66;0.2;0.14;0.13
2005;21957;5694.84;399.53;28.59;0.27;0.18;0.17
2006;1540;5022;781;98;0;0;0
2007;36;4156;535;206;0;0;0
2008;368;4005;315;0;0;0;0
2009;5469;3673;178;11;0;0;0
2010;4917;2378;75;5;0;0;0
2011;3989;3315;395;24;3;3;3
2012;4914;1894;960;24;0;0;0
